id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_au,orbiting_body
2226514,226514 (2003 UX34),20.16,0.2469192656,0.5521282628,True,2025-01-07,16.5489937942,0.1236081667,Earth
2438017,438017 (2003 YO3),18.54,0.5206609142,1.1642331974,False,2025-01-07,15.2767515283,0.0811263309,Earth
2481442,481442 (2006 WO3),21.58,0.1283970296,0.2871044863,False,2025-01-07,21.6488761177,0.3893085951,Earth
3485806,(2010 AL60),22.29,0.0925880583,0.2070331923,False,2025-01-07,8.9892906844,0.062931927,Earth
3723888,(2015 NU2),20.91,0.1748054532,0.3908768761,True,2025-01-07,19.1336306591,0.4910965545,Earth
3771633,(2017 FZ2),26.6,0.0127219879,0.0284472297,False,2025-01-07,7.6348283529,0.2919525028,Earth
3792462,(2017 YD),25.5,0.0211132445,0.0472106499,False,2025-01-07,4.9143049327,0.0704327107,Earth
3837883,(2019 AO12),25.6,0.0201629919,0.0450858206,False,2025-01-07,24.2782093228,0.4817723435,Earth
3842657,(2019 KJ4),27.4,0.0088014652,0.0196806745,False,2025-01-07,9.5250407801,0.3301678954,Earth
54340445,(2023 BO8),26.66,0.0123752784,0.0276719637,False,2025-01-07,14.959320276,0.2981511396,Earth
54509167,(2024 YH4),22.54,0.0825191939,0.1845185269,False,2025-01-07,22.520699712,0.0873417297,Earth
54509629,(2024 YZ4),21.73,0.1198270801,0.2679414966,False,2025-01-07,27.6437185619,0.1286048356,Earth
54512615,(2024 YZ9),25.17,0.0245784775,0.0549591464,False,2025-01-07,8.5400305616,0.0242197552,Earth
54513036,(2024 YW12),23.6,0.0506471459,0.1132504611,False,2025-01-07,13.6327134848,0.099467139,Earth
54516186,(2025 BM),23.27,0.0589596608,0.1318378096,False,2025-01-07,10.5638473191,0.0940180036,Earth
3704144,(2015 AC246),23.4,0.0555334912,0.1241766613,False,2025-01-06,6.0620992868,0.3530850459,Earth
3781585,(2017 SK2),23.2,0.0608912622,0.1361570015,False,2025-01-06,5.35362664,0.4413465621,Earth
3785681,(2017 TU1),26.2,0.0152951935,0.0342010925,False,2025-01-06,14.8116606962,0.4529647451,Earth
3843671,(2019 QY4),27.6,0.0080270317,0.0179489885,False,2025-01-06,18.2049798985,0.3483856392,Earth
3989263,(2020 BP11),26.8,0.0116025908,0.0259441818,False,2025-01-06,15.7678897551,0.2366775748,Earth
54269715,(2022 GE3),23.14,0.06259721,0.1399716167,False,2025-01-06,7.9607072171,0.1649960938,Earth
54293876,(2020 AQ24),24.98,0.0268259417,0.0599846292,False,2025-01-06,19.8684089759,0.3268559986,Earth
54503221,(2024 XR4),23.05,0.065246163,0.1458948557,False,2025-01-06,7.2465399874,0.1600653855,Earth
54509100,(2024 YW3),25.08,0.0256185754,0.0572848762,False,2025-01-06,12.2596614281,0.0144156072,Earth
54514247,(2024 YY21),26.87,0.0112345318,0.0251211767,False,2025-01-06,5.2272161774,0.0371690908,Earth
54516849,(2025 BC2),24.51,0.0333084924,0.0744800533,False,2025-01-06,17.1033847508,0.0330953123,Earth
3740934,(2016 BD15),21.2,0.1529519353,0.3420109247,True,2025-01-05,25.9398250191,0.4776191566,Earth
3753595,(2016 KO),26.5,0.0133215567,0.0297879063,False,2025-01-05,15.3644012418,0.4213374888,Earth
3989144,(2020 BC6),20.85,0.1797028549,0.4018277992,True,2025-01-05,22.182959458,0.0246218859,Earth
54016969,(2020 JR),25.1,0.0253837029,0.0567596853,False,2025-01-05,17.1434128424,0.3196425191,Earth
54091635,(2020 WR1),24.45,0.0342416731,0.0765667087,False,2025-01-05,22.9134713332,0.4746206277,Earth
54186208,(2021 PB23),25.58,0.0203495578,0.0455029946,False,2025-01-05,7.7322038379,0.4814940279,Earth
54509098,(2024 YT3),26.49,0.0133830462,0.029925401,False,2025-01-05,7.0691275737,0.027731306,Earth
54514251,(2025 AJ1),23.53,0.0523064176,0.1169607054,False,2025-01-05,11.2885158668,0.1573470715,Earth
54514895,(2025 AY1),23.18,0.0614546821,0.1374168468,False,2025-01-05,16.7177568867,0.0921638418,Earth
54515312,(2025 AG3),28.31,0.0057883526,0.0129431498,False,2025-01-05,7.4557831385,0.0140150519,Earth
54517641,(2025 BQ5),24.68,0.0308003021,0.0688715693,False,2025-01-05,9.1290174796,0.0451753685,Earth
3879137,(2019 TK6),22.64,0.0788052183,0.1762138252,False,2025-01-04,10.4616436925,0.2714458303,Earth
54054327,(2020 RV6),24.8,0.0291443905,0.0651688382,False,2025-01-04,13.4665770199,0.3914834372,Earth
54105109,(2021 AO4),27.64,0.0078805218,0.0176213825,False,2025-01-04,15.116292581,0.0176522077,Earth
54209222,(2021 TK13),25.4,0.022108281,0.0494356193,False,2025-01-04,4.2041819764,0.1465448579,Earth
54415867,(2023 XU7),24.91,0.0277047973,0.06194981,False,2025-01-04,14.3078893462,0.3294638738,Earth
54508752,(2024 YU1),25.23,0.0239086457,0.0534613571,False,2025-01-04,7.3103291233,0.0150325148,Earth
54511083,(2024 YL7),25.39,0.0222103282,0.0496638037,False,2025-01-04,7.2627755797,0.0325769359,Earth
54512613,(2024 YX9),26.86,0.011286388,0.0252371308,False,2025-01-04,11.2058479342,0.0146768382,Earth
54513046,(2024 YG13),27.02,0.0104846751,0.0234444462,False,2025-01-04,11.7976038512,0.0049481637,Earth
54514253,(2025 AL1),22.5,0.0840533402,0.1879489824,False,2025-01-04,17.650680702,0.0867617236,Earth
54514896,(2025 AZ1),27.48,0.0084831076,0.0189688053,False,2025-01-04,13.8758628752,0.0174424329,Earth
54514899,(2025 AC2),25.33,0.0228325794,0.0510551996,False,2025-01-04,6.3310086637,0.0240729357,Earth
54516261,(2025 BS),23.64,0.0497227313,0.1111834072,False,2025-01-04,14.8357396277,0.0792876136,Earth
3553148,(2010 XB11),19.69,0.3065878759,0.6855513317,False,2025-01-03,18.9394637946,0.1271169416,Earth
3645041,(2013 NC15),22.14,0.0992098919,0.2218400624,False,2025-01-03,12.0604970908,0.1712353484,Earth
3647191,(2013 RT9),26.5,0.0133215567,0.0297879063,False,2025-01-03,4.5094400585,0.2441933616,Earth
3837864,(2019 AS11),26.8,0.0116025908,0.0259441818,False,2025-01-03,11.8634390203,0.3233704888,Earth
3843735,(2019 QL7),26.65,0.0124324001,0.0277996916,False,2025-01-03,8.5809752089,0.3917128541,Earth
54016994,(2020 JH1),24.9,0.0278326768,0.0622357573,False,2025-01-03,7.5364491932,0.4197685538,Earth
54053733,(2020 RL),25.1,0.0253837029,0.0567596853,False,2025-01-03,8.7686642999,0.2735556436,Earth
54279762,(2022 KA),25.15,0.0248058993,0.0554676771,False,2025-01-03,6.0043563141,0.2515034537,Earth
54336914,(2022 YS5),24.84,0.0286124454,0.0639793729,False,2025-01-03,6.2612116938,0.1116918607,Earth
