des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname,Potentially Hazardous,Estimated Diameter (km)
2025 Ag1,0.22222222222222227,0.0,2025-Jan-01 05:24,0.08889748381206157,0.08882173571294506,0.05794668191396632,0.07682466187495349,0.07642589948026537,< 00:01,0.8615641932986837,(2025 Ag1),0,0.04506447475781268
2024 Yy8,0.22222222222222227,0.0001437012560927542,2025-Jan-01 07:14,0.17179298423659622,0.17154713142437042,0.11204581996880358,0.17703815800826025,0.18344796061730645,< 00:01,0.7775212871834567,(2024 Yy8),0,0.07375672345342815
2024 Yj9,0.14814814814814817,0.0001765522238201811,2025-Jan-01 07:39,0.16837706217609036,0.16761626331603288,0.11015644899988367,0.6241187431139626,0.6274413704629808,< 00:01,0.6868434147959745,(2024 Yj9),0,0.11833547009805269
2025 Ac4,0.0,0.00038551143643417163,2025-Jan-01 10:18,0.8586881039848546,0.8518303236901288,0.5637143849534122,0.7089775666037595,0.7121906251433942,< 00:01,0.31749695897379215,(2025 Ac4),0,0.6365154306172428
2024 Yy4,0.44444444444444453,0.0012768781070917612,2025-Jan-01 21:38,0.22341208532139076,0.22332428313211455,0.1455615075266917,0.1414875702519703,0.14856606303795078,< 00:01,0.5242867411257328,(2024 Yy4),0,0.25552320460794375
2024 Yr9,0.22222222222222227,0.0015837197188375285,2025-Jan-02 01:32,0.4472443759583794,0.445829687892571,0.29220363294025403,0.9350846826093523,0.9356266530459096,< 00:01,0.44687880128276003,(2024 Yr9),0,0.36162274177453124
2025 Ao1,0.07407407407407408,0.0016370666553484625,2025-Jan-02 02:13,0.06971578486783095,0.0691456568458574,0.04577580946570457,0.3360559131865028,0.33932138267418027,< 00:01,0.6901608979321021,(2025 Ao1),0,0.11639073102840967
2024 Yf7,0.3703703703703704,0.0016897922587304492,2025-Jan-02 02:53,0.2585046681912258,0.25786087810038527,0.16877876472546613,0.5949247058881416,0.598912466362943,< 00:01,0.4490904567068452,(2024 Yf7),0,0.35809279496485263
2024 Ys9,0.07407407407407408,0.001706578226730926,2025-Jan-02 03:06,0.21087609889107792,0.20989570239667538,0.13797833310161126,0.9576018493827401,0.9575987759178302,< 00:01,0.6768909653875927,(2024 Ys9),0,0.12433352207015803
2025 Ae2,0.44444444444444453,0.0018857049435609952,2025-Jan-02 05:22,0.975027729757194,0.9732519455499259,0.6361747311630168,0.41916145477469746,0.42560904160929447,< 00:01,0.32966106380625915,(2025 Ae2),0,0.6039185718908765
2025 Aa2,0.14814814814814817,0.0021460105544974795,2025-Jan-02 08:41,0.16582667934841872,0.16533502429964447,0.1083201552865692,0.5927238228265105,0.5963374010149609,< 00:01,0.4855827712042462,(2025 Aa2),0,0.3043068987757997
2025 Ac,0.22222222222222227,0.0032411618649348384,2025-Jan-02 22:36,0.017858919345216263,0.01786059042612889,0.011630108599773556,0.15431459160511762,0.130014292800186,< 00:01,0.8095902908326882,(2025 Ac),0,0.061610050838546926
